ContractNumber,Location,Date,BidEnd,Acres,CuttingSections,BoardFeet,PulpwoodTons,CordwoodTons,TotalTrees,AvgDBH,SaleType,Comments
0537,Zaleski State Forest,3/30/2005,4/27/2005,133,3,"334,659",35,,1015,20,MarkedTrees,
0538,Shawnee State Forest,4/6/2005,5/4/2005,92.8,4,"555,976",961,,,,Clearcuts - Ice Storm Damage,No Counts by Species
0539,Tar Hollow State Forest,4/12/2005,5/10/2005,140,4,"307,980",,,964,20,Thinning,
0540,Shawnee State Forest,4/13/2005,5/11/2005,82.6,4,"514,560",818,,,,Clearcuts - Ice Storm Damage,No Counts by Species
0541,Zaleski State Forest,4/19/2005,5/17/2005,103,5,"292,802",129,,1512,18,MarkedTrees,
0542,Shawnee State Forest,4/21/2005,5/19/2005,133,2,"314,545",,,1178,18,MarkedTrees,
0543,Shawnee State Forest,4/28/2005,5/26/2005,91,3,"453,150",,408,1665,22,Shelterwood,
0544,Tar Hollow State Forest,5/3/2005,5/31/2005,56,1,"128,780",,,382,22,Thinning,
0546,Zaleski State Forest,5/5/2005,6/2/2005,42,2,"293,785",542,,2005,18,Clearcut,
0551,Shawnee State Forest,5/12/2005,6/8/2005,34.5,2,"225,738",516,,1141,20,Clearcut,
0552,Richland Furnace State Forest,5/19/2005,6/8/2005,168,5,"677,255",3360,,5036,16,Shelterwood,
0553,Pike State Forest,5/25/2005,6/22/2005,87,2,"117,520",,,394,22,Thinning,
0556,Dean State Forest,6/15/2005,7/13/2005,104,4,"818,775",1970,,3838,18,Clearcuts - Ice Storm Damage,
0602,Pike State Forest,6/30/2005,7/28/2005,191,3,"475,599",780,,2099,18,Thinning,Sale type based on largest acreage in cutting section
0605,Zaleski State Forest,6/2/2005,6/30/2005,199,5,"520,409",1766,,2240,18,MarkedTrees,Sale type based on largest acreage in cutting section
0606,Scioto Trail State Forest,10/3/2005,11/1/2005,318,4,"842,566",472,,3303,20,Thinning,Sale type based on largest acreage in cutting section
0612,Shawnee State Forest,10/11/2005,11/9/2005,42,2,"91,310",,,312,22,MarkedTrees,
0613,Zaleski State Forest,10/20/2005,11/18/2005,49,3,"227,820",304,,1013,16,MarkedTrees,Sale type based on largest acreage in cutting section
0616,Brush Creek State Forest,12/6/2005,1/11/2006,29,1,"299,512",555,,1352,18,Clearcut,
0617,Hocking State Forest,12/15/2005,1/18/2006,23,1,"183,656",322,,1451,16,Clearcut,
0619,Maumee State Forest,1/6/2005,1/25/2006,50,2,,5019,,,,Clearcut and Thinning,"Very vague on details, old pine plantation."
0620,Zaleski State Forest,1/11/2006,2/8/2006,100,4,"43,229",1113,,3127,14,Shelterwood,
0621,Brush Creek State Forest,1/17/2006,2/15/2006,45,1,"92,390",,,364,20,Thinning,
0624,Shawnee State Forest,1/24/2006,2/22/2006,11.5,1,"70,736",202,,395,20,Clearcut,
0625,Shawnee State Forest,1/31/2006,3/1/2006,37,2,"158,629",603,,1294,18,Clearcut,
0626,Shade River State Forest,2/8/2006,3/8/2006,33,2,"7,394",2314,,5545,,Clearcut,
0627,Hocking State Forest,2/15/2006,3/15/2006,35,3,"38,317",2819,,4857,12.2264772493309,Clearcut,Sale type based on largest acreage in cutting section
0628,Blue Rock State Forest,2/22/2006,3/22/2006,28,8,,1834,,5166,10,Clearcut,Sale type based on largest acreage in cutting section
0629,Shawnee State Forest,3/3/2006,3/29/2006,73,5,"378,965",738,,1441,18,Clearcut,Sale type based on largest acreage in cutting section
0630,Zaleski State Forest,3/7/2006,4/5/2006,64,3,"293,980",216,,1435,17,Thinning,Sale type based on largest acreage in cutting section
0631,Shawnee State Forest,3/15/2006,4/12/2006,47,2,"337,259",937,,1275,20,Clearcut,
0632,Shawnee State Forest,3/23/2006,4/19/2006,41,2,"230,438",677,,861,20,Clearcut,
0633,Zaleski State Forest,4/5/2006,5/3/2006,63,4,"266,280",214,,1064,18,Thinning,Sale type based on largest acreage in cutting section
0634,Tar Hollow State Forest,4/20/2006,5/10/2006,7,1,,153,,,10,Thinning,No Counts by Species
0634,Richland Furnace State Forest,4/20/2006,5/10/2006,27,3,,1407,,,8,Clearcut,No Counts by Species
0635,Dean State Forest,4/24/2006,5/17/2006,42,4,"183,174",505,,1537,14,Clearcut,Sale type based on largest acreage in cutting section
0636,Pike State Forest,4/26/2006,5/24/2006,158,2,"272,220",,,868,22,Thinning,
0637,Hocking State Forest,5/8/2006,5/31/2006,39,5,"54,893",8264,,9058,10.2366968425701,Clearcut,Sale type based on largest acreage in cutting section
0638,Tar Hollow State Forest,5/12/2006,6/7/2006,205,3,"352,620",,,1458,18,Thinning,
0639,Tar Hollow State Forest,4/14/2006,4/25/2006,14,1,,827,,,,MarkedTrees,"Very vague - no counts on species
"
0645,Pike State Forest,5/17/2006,6/14/2006,214,2,"321,080",,,1175,20,Thinning,
0646,Shawnee State Forest,6/6/2006,6/28/2006,73,2,"219,620",209,,866,20,MarkedTrees,Sale type based on largest acreage in cutting section
0701,Zaleski State Forest,6/23/2006,7/19/2006,74,3,"240,440",57,,1122,18,Thinning,
0702,Blue Rock State Forest,6/26/2006,7/26/2006,38,2,"85,390",8,,320,20,Thinning,
0703,Shawnee State Forest,7/20/2006,8/16/2006,150,2,"281,020",,,989,22,MarkedTrees,
0704,Hocking State Forest,7/28/2006,8/23/2006,133,3,"453,756",147,,1505,20,MarkedTrees,
0705,Brush Creek State Forest,8/11/2006,9/6/2006,128,2,"470,580",504,,1618,20,MarkedTrees,
0706,Tar Hollow State Forest,8/25/2006,9/20/2006,111,3,"163,720",,,486,22,MarkedTrees,
0707,Shawnee State Forest,8/30/2006,9/27/2006,74,3,"336,919",1300,,1663,18,Clearcut,
0708,Tar Hollow State Forest,9/14/2006,10/11/2006,154,2,"348,044",,,1200,20,Thinning,
0709,Brush Creek State Forest,9/22/2006,10/18/2006,218,3,"616,406",568,,2480,18,MarkedTrees,
0710,Shawnee State Forest,10/16/2006,11/15/2006,41,2,"278,514",883,,1375,18,Clearcut,
0721,Pike State Forest,11/2/2006,11/29/2006,146,2,"261,780",,,909,18,Thinning,
0722,Zaleski State Forest,11/9/2006,12/13/2006,110,4,"438,210",265,,1985,18,Thinning,Sale type based on largest acreage in cutting section
0724,Yellow Creek State Forest,12/13/2006,1/17/2006,134,3,"391,502",190,,2748,17,Thinning and Shelterwood,
0725,Shade River State Forest,12/21/2006,1/24/2007,73,6,,3657,,16501,8,Thinning,Sale type based on largest acreage in cutting section
0726,Tar Hollow State Forest,1/12/2007,2/7/2007,139,2,"261,489",,,870,20,Thinning,Sale type based on largest acreage in cutting section
0727,Tar Hollow State Forest,2/5/2007,3/7/2007,13,1,,1977,,1020,20,Clearcut,
0728,Zaleski State Forest,2/6/2007,3/14/2007,39,2,"321,082",357,,1672,18,Shelterwood,Sale type based on largest acreage in cutting section
0729,Zaleski State Forest,2/7/2007,3/21/2007,42,2,"88,358",6,,321,20,White oak salvage,
0730,Scioto Trail State Forest,3/1/2007,3/28/2007,86,1,"200,080",,,725,20,Thinning,
0741,Shawnee State Forest,3/15/2007,4/11/2007,58,3,"341,849",1044,,1203,20,Clearcut,
0742,Tar Hollow State Forest,3/22/2007,4/18/2007,134,4,"351,884",893,,1534,20,Shelterwood,Sale type based on largest acreage in cutting section
0743,Zaleski State Forest,3/26/2007,4/25/2007,85,3,"251,393",47,,1010,20,Salvage and cull reduction,
0744,Scioto Trail State Forest,4/5/2007,5/2/2007,25,2,"188,580",514,,759,18,Clearcut,
0745,Dean State Forest,4/12/2007,5/9/2007,42,4,"189,174",505,,1537,14,Clearcut,Sale type based on largest acreage in cutting section
0747,Tar Hollow State Forest,5/3/2007,5/30/2007,73,8,"372,724",896,,1761,18,Thinning,Sale type based on largest acreage in cutting section
0748,Shade River State Forest,5/9/2007,6/6/2007,73,3,"391,826",1117,,2598,16,Shelterwood,Sale type based on largest acreage in cutting section
0749,Tar Hollow State Forest,5/14/2007,6/13/2007,80,4,"413,578",916,,1557,20,Thinning,Sale type based on largest acreage in cutting section
0750,Shawnee State Forest,5/21/2007,6/20/2007,45,2,"363,220",1034,,1352,18,Clearcut,
0801,Shade River State Forest,6/14/2007,7/11/2007,73,3,"391,826",1094,,2598,16,Shelterwood,Sale type based on largest acreage in cutting section
0802,Blue Rock State Forest,1/4/2008,1/30/2008,108,3,"659,686",1833,,4051,18,Shelterwood,
0803,Tar Hollow State Forest,7/2/2007,8/1/2007,67,4,"349,751",767,,1174,20,Thinning,Sale type based on largest acreage in cutting section
