ContractNumber,Species,NumberTrees,AvgDBH,BoardFeet,PulpwoodTons
0537,Beech,1,14,105,0
0537,Hickory,3,14,218,0
0537,Sugar Maple,2,18,317,0
0537,Ash,3,18,804,0
0537,Red Maple,35,16,4828,0
0537,Chestnut Oak,64,20,16727,0
0537,Scarlet Oak,62,22,21457,0
0537,Red Oak,42,26,23825,0
0537,Yellow Poplar,69,22,32748,0
0537,Black Oak,283,22,104104,0
0537,White Oak,451,20,129490,0
0539,Black Walnut,1,18,140,0
0539,Black Cherry,6,20,1700,0
0539,Soft Maple,7,20,1800,0
0539,Basswood,5,20,1980,0
0539,Hard Maple,8,20,2600,0
0539,Scarlet Oak,38,20,10560,0
0539,Black Oak,46,20,13220,0
0539,White Ash,54,20,14860,0
0539,Northern Red Oak,61,24,25940,0
0539,Chestnut Oak,230,20,64420,0
0539,White Oak,278,22,84340,0
0539,Yellow Poplar,230,20,86000,0
0541,Black Locust,1,14,78,0
0541,Sugar Maple,4,14,446,0
0541,Blackgum,6,18,967,0
0541,Beech,9,16,1006,0
0541,Ash,11,16,1609,0
0541,Aspen,5,20,1743,0
0541,Hickory,8,20,2259,0
0541,Red Maple,60,14,5901,0
0541,Red Oak,23,24,9584,0
0541,Yellow Poplar,81,20,28147,0
0541,Scarlet Oak,200,16,30613,0
0541,White Oak,383,18,65845,0
0541,Chestnut Oak,409,16,70083,0
0541,Black Oak,312,20,74521,0
0542,Black Cherry,1,18,240,0
0542,Red Oak,1,34,730,0
0542,Other,5,20,930,0
0542,Pignut Hickory,6,18,980,0
0542,Red Maple,6,18,980,0
0542,Yellow Poplar,55,20,18170,0
0542,Scarlet Oak,199,18,34650,0
0542,Chestnut Oak,309,18,49260,0
0542,Black Oak,316,18,54210,0
0542,White Oak,280,20,56770,0
0542,On Ground,,,97625,0
0543,Black Cherry,1,18,180,0
0543,Other,2,20,240,0
0543,Ash,1,20,300,0
0543,Red Maple,1,28,340,0
0543,Black Locust,26,14,2020,0
0543,Sassafras,26,14,2020,0
0543,Birch,13,20,2176,0
0543,Blackgum,43,18,4240,0
0543,Pignut Hickory,21,24,5566,0
0543,Scarlet Oak,33,24,11780,0
0543,Red Oak,57,26,21112,0
0543,Chestnut Oak,122,22,32971,0
0543,White Oak,278,22,76619,0
0543,Black Oak,230,24,82661,0
0543,Yellow Poplar,230,20,86625,0
0543,On Ground,581,,124300,0
0544,Black Locust,1,16,100,0
0544,Hard Maple,1,16,100,0
0544,Aspen,1,24,520,0
0544,Ash,3,18,740,0
0544,Soft Maple,9,18,2440,0
0544,Red Oak,6,24,2780,0
0544,Scarlet Oak,39,20,10680,0
0544,Black Oak,55,20,16920,0
0544,White Oak,69,22,24500,0
0544,Yellow Poplar,58,24,27340,0
0544,Chestnut Oak,140,22,42660,0
0546,Aspen,1,14,78,0
0546,Black Oak,1,18,136,0
0546,Yellow Poplar,2,20,559,0
0546,Scarlet Oak,4,22,1003,0
0546,White Oak,8,22,1765,0
0546,Red Maple,112,14,14712,0
0546,Red Pine,644,14,57477,0
0546,Shortleaf Pine,661,16,100841,0
0546,White Pine,572,16,117214,0
0551,Hickory,18,14,1160,0
0551,Other,15,20,3700,0
0551,Scarlet Oak,69,14,4302,0
0551,Hard Maple,31,18,5480,0
0551,White Oak,33,18,7954,0
0551,Red Oak,46,18,8960,0
0551,Black Oak,54,20,10266,0
0551,On Ground,137,,18949,0
0551,Yellow Poplar,284,22,80481,0
0551,Chestnut Oak,454,20,84486,0
0552,Sassafras,55,12,1560,0
0552,Ash,32,14,4505,0
0552,Hickory,20,20,4717,0
0552,Soft Maple,1,14,19895,0
0552,Aspen,248,16,34020,0
0552,Red Oak,205,1,36112,0
0552,Black Oak,266,14,38014,0
0552,Scarlet Oak,1004,16,97939,0
0552,White Oak,753,16,106588,0
0552,Chestnut Oak,1221,14,137782,0
0552,Yellow Poplar,1049,16,196223,0
0553,Basswood,2,20,340,0
0553,Hard Maple,4,20,760,0
0553,Black Walnut,6,18,1160,0
0553,Black Cherry,10,18,2080,0
0553,Ash,9,20,2240,0
0553,Scarlet Oak,16,20,4820,0
0553,Soft Maple,30,20,6440,0
0553,Black Oak,24,20,7860,0
0553,Red Oak,39,22,14480,0
0553,Yellow Poplar,44,22,15160,0
0553,Chestnut Oak,92,20,23840,0
0553,White Oak,118,22,38340,0
0556,Basswood,29,18,6864,0
0556,Buckeye,20,20,10270,0
0556,Black Oak,183,18,23042,0
0556,Hard Maple,14,14,23222,0
0556,Red Oak,93,22,38358,0
0556,White Pine,18,18,39749,0
0556,Ash,149,20,59382,0
0556,Chestnut Oak,496,16,112151,0
0556,Yellow Poplar,20,20,148270,0
0556,White Oak,18,18,258467,0
0602,Other,3,20,840,0
0602,Black Cherry,6,22,2480,0
0602,Scarlet Oak,12,24,4188,0
0602,Black Walnut,38,16,4439,0
